Hostname	Ergebnis
us8247	Skipped (VPN connection failed)
us8248	Skipped (VPN connection failed)
us8249	Skipped (VPN connection failed)
us8250	Skipped (VPN connection failed)
us8251	Available
us8252	Available
us8253	Available
us8254	Skipped (VPN connection failed)
us8255	Skipped (VPN connection failed)
us8256	Available
us8257	Available
us8258	Skipped (VPN connection failed)
us8259	Available
us8260	Available
us8261	Skipped (VPN connection failed)
us8262	Skipped (VPN connection failed)
us8263	Available
us8264	Available
us8265	Available
us8266	Skipped (VPN connection failed)
us8267	Skipped (VPN connection failed)
us8268	Skipped (VPN connection failed)
us8269	Skipped (VPN connection failed)
us8270	Available
us8271	Available
us8272	Skipped (VPN connection failed)
us8273	Available
us8274	Skipped (VPN connection failed)
us8275	Available
us8276	Available
us8277	Skipped (VPN connection failed)
us8278	Skipped (VPN connection failed)
us8279	Available
us8280	Available
us8281	Skipped (VPN connection failed)
us4964	Skipped (Dedicated IP required)
us8282	Available
us8283	Available
us8284	Skipped (VPN connection failed)
us8285	Available
us8286	Skipped (VPN connection failed)
us8287	Skipped (VPN connection failed)
us8288	Skipped (VPN connection failed)
us8289	Available
us8290	Available
us8291	Skipped (VPN connection failed)
us8342	Available
us8343	Skipped (VPN connection failed)
us8344	Available
us8345	Skipped (VPN connection failed)
us8346	Available
us8347	Skipped (VPN connection failed)
us8348	Available
us8349	Skipped (VPN connection failed)
us8350	Available
us8351	Available
us8352	Available
us8353	Skipped (VPN connection failed)
us8355	Available
us8356	Skipped (VPN connection failed)
us8357	Skipped (VPN connection failed)
us8358	Skipped (VPN connection failed)
us8359	Skipped (VPN connection failed)
us8360	Available
us8361	Available
us8362	Skipped (VPN connection failed)
us8363	Available
us8364	Available
us8365	Skipped (VPN connection failed)
us8366	Available
us8367	Skipped (VPN connection failed)
us8368	Skipped (VPN connection failed)
us8369	Available
us8370	Skipped (VPN connection failed)
us8371	Available
us8372	Available
us8373	Available
us8374	Skipped (VPN connection failed)
us8375	Available
us8376	Skipped (VPN connection failed)
us8377	Skipped (VPN connection failed)
us8378	Skipped (VPN connection failed)
us8379	Available
us8380	Available
us8381	Skipped (VPN connection failed)
us8382	Skipped (VPN connection failed)
us8383	Available
us8384	Skipped (VPN connection failed)
us8385	Available
us8386	Available
us8387	Skipped (VPN connection failed)
us8388	Available
us8389	Skipped (VPN connection failed)
us8390	Skipped (VPN connection failed)
us8391	Available
us4965	Skipped (Dedicated IP required)
us4966	Skipped (Dedicated IP required)
us8393	Available
us8394	Available
us8395	Available
us8396	Skipped (VPN connection failed)
us8397	Skipped (VPN connection failed)
us8398	Skipped (VPN connection failed)
us8399	Skipped (VPN connection failed)
us8400	Available
us8401	Available
us8402	Skipped (VPN connection failed)
us8403	Available
us8404	Skipped (VPN connection failed)
us8405	Available
us8406	Available
us8407	Skipped (VPN connection failed)
us8408	Available
us8409	Skipped (VPN connection failed)
us8410	Skipped (VPN connection failed)
us8411	Available
us8412	Available
us8413	Skipped (VPN connection failed)
us8414	Available
us8415	Available
us8416	Skipped (VPN connection failed)
us8417	Skipped (VPN connection failed)
us8418	Skipped (VPN connection failed)
us8419	Available
us8420	Available
us8421	Skipped (VPN connection failed)
us8422	Skipped (VPN connection failed)
us8423	Available
us8475	Skipped (VPN connection failed)
us8476	Available
us8477	Available
us8478	Skipped (VPN connection failed)
us8479	Available
us8481	Skipped (VPN connection failed)
us8482	Skipped (VPN connection failed)
us8483	Available
us8484	Available
us8485	Available
us8486	Skipped (VPN connection failed)
us8487	Available
us8489	Skipped (VPN connection failed)
us8490	Skipped (VPN connection failed)
us8492	Available
us8493	Available
us8494	Skipped (VPN connection failed)
us8495	Skipped (VPN connection failed)
us8496	Available
us8498	Skipped (VPN connection failed)
us8499	Skipped (VPN connection failed)
us8500	Available
us8501	Available
us8502	Skipped (VPN connection failed)
us8506	Available
us8507	Skipped (VPN connection failed)
us8508	Available
us8509	Available
us8511	Skipped (VPN connection failed)
us8512	Skipped (VPN connection failed)
us8513	Available
us8514	Available
us8515	Skipped (VPN connection failed)
us8516	Skipped (VPN connection failed)
us8517	Skipped (VPN connection failed)
us8518	Available
us8519	Available
us8520	Available
us8521	Skipped (VPN connection failed)
us8522	Skipped (VPN connection failed)
us8523	Available
us8524	Available
us8525	Skipped (VPN connection failed)
us8526	Skipped (VPN connection failed)
us8527	Available
us8528	Skipped (VPN connection failed)
us8529	Available
us8530	Available
us8531	Skipped (VPN connection failed)
us8532	Available
us8533	Skipped (VPN connection failed)
us8534	Skipped (VPN connection failed)
us8535	Available
us8536	Skipped (VPN connection failed)
us8537	Available
us8538	Available
us8539	Skipped (VPN connection failed)
us8540	Available
us8541	Skipped (VPN connection failed)
us8557	Skipped (VPN connection failed)
us8558	Available
us8559	Available
us8560	Skipped (VPN connection failed)
us8561	Available
us8562	Skipped (VPN connection failed)
us8563	Available
us8564	Available
us8565	Skipped (VPN connection failed)
us8566	Skipped (VPN connection failed)
us8567	Available
us8568	Skipped (VPN connection failed)
us8569	Available
us8570	Skipped (VPN connection failed)
us8571	Skipped (VPN connection failed)
us8572	Available
us8573	Available
us8574	Skipped (VPN connection failed)
us8575	Available
us8576	Skipped (VPN connection failed)
us8577	Available
us8578	Available
us8579	Skipped (VPN connection failed)
us8580	Skipped (VPN connection failed)
us8581	Available
us8582	Skipped (VPN connection failed)
us8583	Available
us8584	Available
us8585	Skipped (VPN connection failed)
us8586	Available
us8587	Skipped (VPN connection failed)
us8588	Available
us8589	Skipped (VPN connection failed)
us8590	Skipped (VPN connection failed)
us8591	Available
us8592	Available
us8641	Skipped (VPN connection failed)
us8642	Available
us8643	Skipped (VPN connection failed)
us8644	Available
us8645	Skipped (VPN connection failed)
us8646	Available
us8647	Skipped (VPN connection failed)
us8648	Available
us8649	Skipped (VPN connection failed)
us8650	Available
us8651	Available
us8652	Skipped (VPN connection failed)
us8653	Skipped (VPN connection failed)
us8654	Available
us8655	Skipped (VPN connection failed)
us8656	Available
us8657	Skipped (VPN connection failed)
us8658	Skipped (VPN connection failed)
us8659	Available
us8660	Available
us8661	Skipped (VPN connection failed)
us8662	Available
us8663	Available
us8664	Skipped (VPN connection failed)
us8665	Available
us8666	Skipped (VPN connection failed)
us8667	Available
us8668	Skipped (VPN connection failed)
us8669	Skipped (VPN connection failed)
us8670	Available
us8671	Available
us8672	Skipped (VPN connection failed)
us8673	Available
us8674	Skipped (VPN connection failed)
us8675	Skipped (VPN connection failed)
us8676	Available
us8677	Skipped (VPN connection failed)
us8678	Available
us8679	Available
us8680	Skipped (VPN connection failed)
us8681	Available
us8682	Available
us8683	Skipped (VPN connection failed)
us8684	Available
us8685	Skipped (VPN connection failed)
us8686	Available
us8687	Skipped (VPN connection failed)
us8688	Skipped (VPN connection failed)
us8689	Skipped (VPN connection failed)
us8690	Available
us8691	Available
us8692	Skipped (VPN connection failed)
us8693	Available
us8694	Skipped (VPN connection failed)
us8695	Available
us8696	Skipped (VPN connection failed)
us8697	Available
us8699	Available
us8700	Skipped (VPN connection failed)
us8701	Skipped (VPN connection failed)
us8702	Available
us8703	Available
us8704	Skipped (VPN connection failed)
us8705	Available
us8706	Available
us8707	Skipped (VPN connection failed)
us8708	Skipped (VPN connection failed)
us8709	Skipped (VPN connection failed)
us8710	Available
us8711	Available
us8712	Skipped (VPN connection failed)
us8713	Available
us8714	Skipped (VPN connection failed)
us8715	Available
us8716	Skipped (VPN connection failed)
us8717	Available
us8718	Skipped (VPN connection failed)
us8719	Available
us4968	Skipped (Dedicated IP required)
us4970	Skipped (Dedicated IP required)
us8780	Skipped (VPN connection failed)
us8781	Available
us8782	Available
us8783	Skipped (VPN connection failed)
us8784	Available
us8785	Available
us8786	Skipped (VPN connection failed)
us8787	Skipped (VPN connection failed)
us8788	Skipped (VPN connection failed)
us8789	Available
us8790	Available
us8791	Skipped (VPN connection failed)
us4971	Skipped (Dedicated IP required)
us4972	Skipped (Dedicated IP required)
us8792	Available
us8793	Available
us8794	Skipped (VPN connection failed)
us8795	Skipped (VPN connection failed)
us8796	Available
us8797	Available
us8798	Skipped (VPN connection failed)
us9013	Skipped (VPN connection failed)
us9014	Skipped (VPN connection failed)
us9015	Available
us9016	Available
us9017	Skipped (VPN connection failed)
us9018	Available
us9019	Available
us9020	Skipped (VPN connection failed)
us9021	Skipped (VPN connection failed)
us9022	Skipped (VPN connection failed)
us9023	Available
us9024	Available
us9025	Skipped (VPN connection failed)
us9026	Available
us9027	Available
us9028	Skipped (VPN connection failed)
us9029	Available
us9030	Available
us9031	Skipped (VPN connection failed)
us9032	Skipped (VPN connection failed)
us9033	Skipped (VPN connection failed)
us9034	Available
us9035	Available
us9036	Skipped (VPN connection failed)
us9037	Available
us9038	Available
us9039	Skipped (VPN connection failed)
us9040	Skipped (VPN connection failed)
us9041	Skipped (VPN connection failed)
us9042	Available
us9043	Available
us8800	Blocked
us8801	Blocked
us9094	Available
us9095	Skipped (VPN connection failed)
us9096	Available
us9097	Available
us9098	Skipped (VPN connection failed)
us9099	Available
us9100	Skipped (VPN connection failed)
us9101	Skipped (VPN connection failed)
us9102	Skipped (VPN connection failed)
us9103	Available
us9104	Available
us9105	Skipped (VPN connection failed)
us9106	Available
us9107	Available
us9108	Skipped (VPN connection failed)
us9109	Skipped (VPN connection failed)
us9110	Available
us9111	Skipped (VPN connection failed)
us9112	Available
us9143	Available
us9144	Skipped (VPN connection failed)
us9145	Available
us9146	Available
us9147	Skipped (VPN connection failed)
us9148	Available
us9149	Skipped (VPN connection failed)
us9150	Skipped (VPN connection failed)
us9151	Skipped (VPN connection failed)
us9152	Available
us9153	Available
us9154	Skipped (VPN connection failed)
us9155	Available
us9156	Skipped (VPN connection failed)
us9157	Available
us9158	Skipped (VPN connection failed)
us9159	Available
us9160	Skipped (VPN connection failed)
us9161	Available
us9162	Available
us9163	Skipped (VPN connection failed)
us9164	Available
us9165	Available
us9166	Skipped (VPN connection failed)
us9167	Skipped (VPN connection failed)
us9168	Available
us9169	Skipped (VPN connection failed)
us9170	Skipped (VPN connection failed)
us9171	Skipped (VPN connection failed)
us9172	Available
us9173	Available
us9174	Skipped (VPN connection failed)
us9175	Available
us9176	Available
us9177	Skipped (VPN connection failed)
us9178	Available
us9179	Skipped (VPN connection failed)
us9180	Skipped (VPN connection failed)
us9181	Available
us9182	Available
us9184	Available
us9185	Skipped (VPN connection failed)
us9186	Available
us9187	Skipped (VPN connection failed)
us9188	Available
us9189	Skipped (VPN connection failed)
us9190	Skipped (VPN connection failed)
us9191	Skipped (VPN connection failed)
us9192	Skipped (VPN connection failed)
us9193	Available
us9194	Available
us9195	Skipped (VPN connection failed)
us9196	Available
us9197	Available
us9199	Skipped (VPN connection failed)
us9200	Available
us9201	Skipped (VPN connection failed)
us9202	Available
us9203	Available
us9204	Available
us9205	Skipped (VPN connection failed)
us9206	Available
us9207	Skipped (VPN connection failed)
us9208	Skipped (VPN connection failed)
us9209	Available
us9210	Skipped (VPN connection failed)
us9211	Skipped (VPN connection failed)
us9212	Skipped (VPN connection failed)
us9273	Available
us9274	Skipped (VPN connection failed)
us9275	Skipped (VPN connection failed)
us9276	Available
us9277	Available
us9278	Available
us9279	Skipped (VPN connection failed)
us9280	Available
us9281	Available
us9282	Skipped (VPN connection failed)
us9283	Available
us9284	Available
us9286	Blocked
us9287	Blocked
us9288	Blocked
us9289	Blocked
us9290	Blocked
us9292	Blocked
us9293	Blocked
us9294	Blocked
us9296	Available
us9297	Available
us9298	Skipped (VPN connection failed)
us9299	Skipped (VPN connection failed)
us9300	Skipped (VPN connection failed)
us9301	Available
us9302	Skipped (VPN connection failed)
us9303	Available
us9304	Skipped (VPN connection failed)
us9305	Available
us9306	Skipped (VPN connection failed)
us9307	Available
us9308	Available
us9309	Available
us9310	Skipped (VPN connection failed)
us9311	Available
us9312	Skipped (VPN connection failed)
us9313	Skipped (VPN connection failed)
us9314	Available
us9315	Available
us9316	Available
us9317	Skipped (VPN connection failed)
us9318	Skipped (VPN connection failed)
us9319	Skipped (VPN connection failed)
us9320	Skipped (VPN connection failed)
us9321	Available
us9322	Available
us9323	Skipped (VPN connection failed)
us9324	Available
us9325	Skipped (VPN connection failed)
us9326	Skipped (VPN connection failed)
us9327	Available
us9328	Available
us9329	Available
us9330	Available
us9331	Skipped (VPN connection failed)
us9332	Skipped (VPN connection failed)
us9334	Available
us9335	Skipped (VPN connection failed)
us9336	Skipped (VPN connection failed)
us9337	Available
us9338	Available
us9339	Skipped (VPN connection failed)
us9340	Skipped (VPN connection failed)
us9341	Available
us9342	Available
us9343	Skipped (VPN connection failed)
us9344	Skipped (VPN connection failed)
us9345	Available
us9346	Skipped (VPN connection failed)
us9347	Available
us9348	Available
us9349	Skipped (VPN connection failed)
us9350	Skipped (VPN connection failed)
us9351	Available
us9352	Available
us9353	Skipped (VPN connection failed)
us9354	Available
us9355	Skipped (VPN connection failed)
us9356	Skipped (VPN connection failed)
us9357	Available
us9358	Available
us9365	Skipped (VPN connection failed)
us9366	Skipped (VPN connection failed)
us9367	Available
us9368	Available
us9369	Skipped (VPN connection failed)
us9371	Available
us9372	Skipped (VPN connection failed)
us9373	Skipped (VPN connection failed)
us9374	Available
us9375	Available
us9376	Skipped (VPN connection failed)
us9377	Available
us9378	Available
us9379	Available
us9380	Skipped (VPN connection failed)
us9381	Skipped (VPN connection failed)
us9382	Skipped (VPN connection failed)
